hochdeutsch,bischemerisch
Gaffer,Gafr
Galgen,Galche
Galgen,Galiche
Galgenleite,Galcheleide
Galle,Gale
Galopp,Galup
Gamburg,Gameri
Gang,Gonk
Gang,Goong
Gans,Gonds
Gans,Goons
ganz,gands
ganz,ganz
ganz,goanz
ganz,gonz
ganz dick,dickedick
ganz und gar,asegands
ganz und gar,gandsegoar
ganze,gandsi
ganze,ganzi
ganze,goanze
gar,gaar
gar,goar
gar zu sehr,goardseser
garantiert,garandiert
Garbe,Garwe
Garibaldi,Karibaldi
Garküche,Goarküche
Garn,Gaare
Garn,Goare
Garten,Garde
Garten,Gärde
Garten,Gärdle
Gartenbeet,Beit
Gasse,Gase
Gasse,Gass
Gassen,Gasse
Gastwirtschaft,Wärdshaus
Gau,Gaa
Gaul,Gaule
geangelt,ganglt
gebastelt,gebösseld
gebastelt,gebösselt
gebe,ge
gebe,gäb
gebe,gää
gebe,gääwe
gebe ich,gäwwi
geben,geewe
geben,gäwe
geben,gäwwe
geben,gää
geben,gääwe
geben wir,-m Fritz
geben wir dem,-m
Gebet,Gebed
gebetet,gebet
gebeugt,gebeucht
Gebiet,Gebiet
gebildet,gebil
Gebildeter,Gebillr
gebissen,verbisse
geblasen,gebloose
gebleckt,gebleggd
geblieben,gebliewe
geblutet,geblut
geboren,gebore
Gebote,Gebott
geboten,geboude
gebracht,gebroochd
gebracht,gebroocht
gebreitet,gebrat
gebrutzelten,gebrozelten
gebrütet,gebryt
gebt,get
gebt,gätt
gebunden,gebune
gebunden,gradlt
Geburt,Geburd
Gebäck,Gutzli
Gebäck,Schoffeuderli
Gebäck in Form eines Schafeuters,Schofayterle
Gebäck in Form eines Schafeuters,Schoffeuderli
Gebälk,Kabelik
Gebäude,Gebei
Gebücke,Gebück
gebürtig,gebördicht
Gebüsch,Gebysch
Geck,Gigl
gedacht,cht
gedacht,gedo
gedacht,gedoocht
gedacht,o
Gedichdl,Hoasselnüss'
Gedichte,Gedichtli
gedorrten,dörre
gedreht,gedrebt
gedreht,gedreebt
gedreht,getreebd
gedroschen,gedrosche
Gedränge,Gedreng
Gedrücke,Gedrück
Gedrücke,Gegnöds
Geduld,Gedult
geduldig,geduldi
gedungen,gedinge
gedörrte,dörre
gedörrte Früchte,Hutzel
geehrt,g'ehrt
Gefahr,Gfahr
gefahren,gfoahre
gefallen,falle
gefallen,g'falle
gefallen,gfalle
gefaulenzt,faulenzd
gefehlt,fählt
gefehlt,gfählt
geflickt,g'flickt
geflogen,flouche
gefroren,frore
gefroren,gfrore
gefunden,funne
gefunden,g'funne
gefunden,gfune
gefällt,felld
gefällt,g'fellt
gefällt es,gfellt's
Gefäss,Bude
Gefäss,dze
Gefäss,Schdü
Gefäss,ü
Gefäß aus Holz,Bute
Gefühl,fühl
Gefühl,G'fühl
geführt,g'führt
geführt,gführt
gegafft,gegaft
gegangen,'gange
gegangen,gange
gegangen,goange
gegangen,gonge
gegeben,gewe
gegeben,gääwe
gegen,geeche
gegen,gejche
gegen den Feind,-Feind
gegen den Feind,gejche 'n Feind
gegerbt,gegärbt
gegessen,gese
gegessen,gässe
geglaubt,geglabt
gegossen,gegosse
gegrabscht,gegrabschd
geh,ge
gehabt,g'hatt
gehabt,hote
gehabt,kode
gehackt,hackt
gehalten,halde
gehalten,kalde
gehandelt,handelt
gehauen,kawe
gehe,geh
Gehege,Hejch
geheim,g'haam
geheim,geheim
geheim,k'haam
geheime,haome
geheimen,g'haame
gehen,ge
gehen,geh
gehen,gehe
gehen,gehn
gehen,gehne
gehen,gene
gehen,genn
gehen wir,gemmer
Gehilfin,Böttin
Gehirn,Hiere
gehoben,kouwe
geholfen,holfe
geholfen,kolfe
gehorchen,K'horche
gehorchen,k'horche
gehorcht,k'horched
gehst,gest
geht,gengt
geht daneben,verlöppert
geht das Fenster oben,-uff
geht ihnen,geht'n
gehupft,hopfd
Gehämmer,Kemer
gehängt,kengt
gehäuft,hauft
gehäuft voll,kauft
Gehäuse,Ööpfelbutze
Gehör,hör
gehöre,k'hör
gehören,hörn
gehören,k'höre
gehören,köörn
gehörig,köri
gehört,g'hört
gehört,gekört
gehört,hört
gehört,k'hört
gehört,köört
gehört er,r
gehütet,kyt
gehütet,küt
Geier,Gaier
Geifer,Gaafer
Geige,Geiche
geigen,geiche
Geist,Geisd
Geister,Geisder
Geisterplätze,Geisderplätz
Geisterzeit,Geisderzeit
Geizhals,Schböbrener
Geiß,Gaas
Geiß,Gaaß
Geiß,Gas
Geiß,Gass
Geiß,s
Geißbock,Gaaßbouck
Geißchen,Dsigele
Geißrain,Gassroa
Geißrain,n
gejagt,gjocht
gejammert,'jammerd
gejammert,g'jammerd
gekauft,gekaaft
gekauft,kaafd
gekauft,kaft
gekaut,gekäut
gekeucht,gekaycht
gekitzelt,gekudslt
gekleidet,geglat
geklettert,gekläwwerd
geklettert,gekläwwert
geklopft,geklopfd
geklungen,geglunge
gekochte Schweinefüsse,Füssli
gekochte Unterschenkel vom Schwein,Knöchli
gekommen,kume
gekommen,kumme
gekonnt,gekont
gekotzt,gekodst
gekratzt,gekrapft
gekriegt,gricht
gekriegt,kriecht
gelacht,a
gelacht,cht
gelacht,glachd
gelacht,glacht
gelacht,la
geladen,loade
geladen das,s
gelangt,g'langt
gelangt,langt
Gelaufe,G'laaf
Gelaufe,Glaaf
Gelaufe,laaf
gelaufen,g'loffe
gelaufen,loffe
gelb,gehl
gelb,gelw
gelbe,gelwe
gelben,gelwem
Geld,Geld
Geld,Gelt
Geld,Gääld
geleckt,läckt
Gelee,Schile
gelegen,gleeche
Gelegenheit,G'läächenheit
gelegt,g'lejcht
gelegt,glejcht
Geleis,Glaas
Geleise,Glaast
Geleit,Glaat
gelesen,g'lese
gelesen,g'läse
gelinde,g'linde
gelingen,linge
gelitten,de
gelitten,gli
gelitten,i
gell,gäll
gelogen,glouche
gelt,gäll
Gelte,Bude
gelten,gelde
geltet,gilt
Gelumpe,Glumb
gelyncht,glüncht
Gelächter,lechder
gelähmten,lohme
gemacht,g'maacht
gemacht,g'macht
gemacht,g'moacht
gemalt,moolt
gemalzen,maldse
gemaust,gmaust
Gemeinde,G'mann
Gemeinde,Gemaa
Gemeinde,Gma
Gemeinde,Gman
Gemeinde,Gmoa
Gemeinde,Gmoan
Gemeinde,Gmoande
Gemeinde,mann
Gemeinde,moa
Gemeinderat,G'mannraat
Gemeinderat,Gmoanderood
Gemeinderat,Gmoaroat
Gemeinderat,moaroat
gemeine Wetterdistel S,Dunnerdissel
gemeint,moant
gemerkt,g'märgt
gemessen,mässe
gemuckt,muckt
gemächlich,gemächli
gemächlich,schdat
Gemüse,Gemiis
Gemüse,Gmüs
Gemüse,Gmüüs
Gemüsegarten,Gmüüsgarde
Gemüt,Gemüüd
gemütlich,g'mütli
gemütlicher Mensch,Gnödser
Gemütlichkeit,müdlichkeit
genannt,nennt
genau,a
genau,g'nau
genau,gna
genau,nau
genau,p
Gendarm,Schandel
geneckt,g'neckt
genehm,gnem
Genick,G'nick
Genick,Gnack
Genick,Gnik
Genie,Weldskärl
geniert,schinierd
geniest,nißt
genn,mr
genommen,gnume
genommen,gnumme
genommen,numme
Genstaler,Gendsdoler
genug,g'nuuch
genug,gnuuch
genug,nuuch
Genuß,G'nuß
genötigt,g'nöt't
genötigt,t
Georg,Schorsch
gepeinigt,gepeinichd
Gepfeife,Gepfeuf
gepfiffen,gepfiffe
gepflegten,gepflechte
gepflegten,gepfläächde
geplagt,geploochd
geplagtes,geblagds
Geplappere,Gebebber
geplündert,geplünnerd
geputzt,gebutzt
Gepäck,Päck
gerade,graad
gerade,grad
gerade,groad
gerader,gröder
gerannt,grennt
geraten,grode
gerben,gärwe
Gerber,Gärwer
Gerchsheim,Gerxe
Gerchsheim,Gärgse
Gerchsheimer,Gerxemer
Gerchsheimer,Gärgsemer
Gerede,Gebatsch
geredet,gredt
geredet,redt
Gerichststetten,Gärschdeide
Gericht,Gricht
Gericht,richt
gerichtet,richt
gerieben,griiwe
gerissen,risse
geritten,de
geritten,gri
geritten,i
geritten,riide
gerittener,gridener
Gerlachsheim,Gerlesse
Gerlachsheim,Gärlese
Gerlachsheimer,Gerlesemer
gern,geere
gern,gere
gern,gern
gern,gääre
gerollt,rolld
geronnen,grune
Gerste,Gerschde
Gerstenabfall,Syyt
Gerstenacheln,Ochl
Gertrud,Gärdraut
Geruch,Gruch
gerufen,ruffe
gerundete Klümpchen aus Mehl oder Kartoffeln,Zemmede
gerupft,g'ropfd
gerupft,g'ropft
Gerät,Gröt
gerät,gröt
Gerät zum Film abspielen,Kinemadograafe
Geräte,Grötr
Geräuchertes,Gräucherts
geräuchertes,s
Gerümpl,Grempl
gesagt,g'saacht
gesagt,g'soacht
gesagt,gsaacht
gesagt,gsoacht
gesagt,gsot
gesalzen,gsaldse
gesammelt,sammelt
Gesang,G'sonng
Gesang,Gsoang
Gesang,Gsonk
Gesang,Gsoong
Gesangbuch,Gsoangbuuch
geschabt,schoabt
geschadet,gschat
geschaffen,g'schaffe
geschafft,schaffd
geschaffte,schaffde
geschehen,gsche
geschehen,gschehe
gescheit,scheit
gescheite,gscheide
Gescheite,Gscheidli
gescheiter,scheider
Geschenk,schenk
geschenkt,schenkt
Geschichtchen,Gschichdli
Geschichtchen,Gschichtli
Geschichtchen,schichdli
Geschichtchen über Auffälliges,Spuksen
Geschichte,G'schichd
Geschichte,Gschicht
Geschichten,Gschichdli
Geschichten,Gschichdlii
Geschichten,Gschichtli
Geschichten,schichde
Geschichten erzählen,Verzejhle
geschichtet,gschicht
geschickt,schickt
geschieht,g'schieht
geschieht,gschicht
geschirmt,gschärmt
Geschirr,G'scherr
Geschirr,G'schärr
Geschirr,Gschärr
Geschirr,Metzgersg'scherr
Geschirr,scherr
Geschirr,schärr
geschlafen,schloffe
geschlagen,g'schloache
geschlagener,g'schlaachner
geschlagener,schloachner
Geschlecht,schlecht
geschleift,schlaafd
Geschmack,Gschmok
geschmeckt,g'schmackt
Geschmeiss,Gschmas
Geschmeiß,Gschmaas
Geschmiere,schmier
geschmiert,g'schmiert
geschmiert,schmiert
geschmorten,geschmorte
geschneit,schnäud
geschnitten,gschniide
geschnitzt,g'schnitzt
geschnitzt,g'schnnitzd
geschont,geschoont
geschossen,geschosse
Geschrei,G'schraa
Geschrei,Geschraa
Geschrei,Gschraa
geschrieben,gschriiwe
geschrieben,schriewe
geschrieben,schriiwwe
geschrieen,gschri
geschrieen,gschriee
geschunden,gschune
geschunden,schunne
geschwind,schwind
Geschwister,G'schwister
Geschwister Verniedlichungsform,schwisterli
geschwollenen,schwollne
geschwommen,gschwume
Geschwätz,Gebabl
Geschäft,Gschäft
Geschäft,Loade
Geschäft,schäft
geschäftig sein,wewere
geschält,g'schejlt
geschändet,schennd
geschätzt,g'schätzt
geschöpft,schöpft
Geschür,Gschweer
geschüttet,gschyt
geschützt,gschützt
geschützte,geschützde
gesehen,derblickt
gesehen,gse
gesehen,seh
gesehen,säe
gesehen,säh
Geselle,Gsel
Geselle,sell
Gesellenstück,sellestück
gesessen,g'sätze
gesessen,gsedse
Gesetz,Gsetz
gesetzt,setzt
geseufzt,gseufzt
Gesicht,cht
Gesicht,G'si
Gesicht,G'sichdle
Gesicht,G'siechd
Gesicht,Gsicht
Gesicht,Gsiechd
Gesicht,i
Gesicht,sichd
Gesicht,siicht
Gesichtchen,G'sichdle
Gesichter,sichder
Gesichtsbacken,Bag
Gesichtsbacken,Bagge
Gesichtsbacken,e
Gesichtsbacken,g
Gesinge,sing
gesorgt,sorcht
gesotten,gsoude
gesottene,gsodeni
Gespenst,schpenst
Gespenster,Gschpenster
Gespenstergeschichten,Gschpenstergschichdli
Gespentergeschichten,Gschpenstergschichdlii
gespieen,gschbi
gespitzt,spitzt
gesponnen,g'spunne
gesponnen,gschbune
gesprochen,gebabbelt
Gespött,spott
Gestalt,stoalt
gestanden,gschdane
Gestank,Gschdonk
Gestell,Gschdell
Gestell,Moudl
Gestell zum Auflegen,Horde
Gestell zum Auflegen,Öpfelhorde
gestellt,stellt
gestern,geschdern
gestern,gesder
gestern Nacht,nechdi
gestiegen,gschdiiche
gestillt,stilld
gestimmt,gstimmt
gestochen,gschdoche
gestorben,gschdorwe
gestorben,uffkflouche
gestreckt,streckt
gestrickt,g'strickt
gestritten,gschride
gestunken,gsunge
gesucht,g'süchd
gesucht,g'sücht
gesucht,gsücht
gesund,g'suund
gesund,gsund
gesunden,g'sunne
gesunden,sunne
gesunder,gsuunder
gesundes,g'suunds
Gesundheit,sundheit
gesungen,g'sunge
gesungen,gsunge
Gesänge,Gseng
gesät,gsebt
getan,gedu
getan,geduu
getan,geduune
getan,n
getanzt,gedanzd
Getier,Gedier
getragen,getroache
getraut,getraud
Getreide,Fruucht
getrockneter Birnenschnitz,Hudsl
getroffen,gedroffe
getroffen,getroffe
getrunken,getrunke
Getränk,Trenkle
Getue,Geduu
getutet,t
Getöse,Gedöös
gevespert,vesbert
gewagt,woocht
Gewalt,Gwoald
Gewalt,woalt
gewaltig,gewaldi
Gewann,Fluor
Gewann,Fluur
Gewann,G'wenn
Gewann,wenn
gewedelt,wäwwerd
Gewehr,G'wehr
Gewehr,wehr
geweiht,weit
geweihte Münze,Pöderle
geweihte Münze mit Heiligenbild,Phöterle
gewesen,gwest
gewesen,gwä
gewesen,gwäst
gewesen,gwääse
gewesen,st
gewesen,wääse
gewesen,wääst
gewesen,ä
gewichste,gwichsti
Gewicht,Gwicht
Gewicht,wicht
Gewimmel,Wiwl
gewinnen,gwinne
Gewinst,Gwindst
gewiss,g'wiiß
gewiss,gewiiß
gewiss,gwies
gewiss,gwiess
gewiss,gwiiß
gewisse,gwisi
Gewitter,Gwidder
Gewitter,Gwitter
Gewitter,widder
Gewitter,witter
gewittern,widdere
gewitzt,witzd
gewiß,gwis
gewiß,gwist
gewogen,gwoche
gewohnt,g'wehnt
gewohnt,wehnt
gewonnen,gwune
gewonnen,wunne
geworfen,gmisse
gewunden,gwune
gewusst,gwest
gewußt,g'weßt
gewußt,gwest
gewußt,west
gewöhnen,gwene
gewöhnlich,alds
gewölbt,gegwölbt
Gewölk,wölk
Gewühle,G'wühl
Gewürz,G'wörz
Gewürz,Gwärds
Gewürz,wörz
Geyer,Gaichert
gezappelt,wäwwerd
gezeigt,gezeicht
gezogen,gedsouche
Gibser,Ibser
gibst,geist
gibst,gääwe
gibst dem,m
gibt,gait
gibt,geit
gibt es,geit's
gibt es,gäbt's
gibt es,s
gibt es auf dieser Welt,s uff däre Weld
Gicht,Gichter
Giebel,Gi
Giebel,Giewel
Giebel,i
Giebel,wl
Giebelecke,Giewelegge
Giebelecken,Giewelegge
Giesskannenspritzer,Schbredzer
Giesskannenspritzer,Schpretzer
gießen,gieße
gießen,gise
Gießkanne,Giskanne
gießt,gist
giftig,gifdi
Giftscheisser,Giftschaiser
gilfen,kilfere
Gips,Ibs
gipsen,ibse
Gissigheim,Gisiche
Gissigheim,Gissi
Gissigheim,Gissje
Gissigheim,Kisi
Gissigheimer,Gisemer
glaab,i
Glas,Gloas
Glas,Glos
Glas,Gläsle
glatt,glatt
glatt,gloatt
glatt,glott
glatter,gloder
glatter,glotter
Glatzköpfe,Glatzköpf
glaub,glaab
glaube,glaab
glaube,glaaw
glaube ich,glaawi
glaube ich es,iss
glaube mir es,glaab m'r's
glauben,glaabe
Glauben,Glaabe
glauben,glaawe
Glauben,Glawe
glaubst,a
glaubst,bst
glaubst,gla
glaubst,glaabst
glaubst,glabst
glaubt,glaabt
glaubt,glabt
gleich,glai
gleich,glei
gleichmachen,niweliere
glimmen,glime
glitzernde,glitzeride
Glocke,Glogge
Glocke,Schele
Glocken,e
Glocken,g
Glocken,Glog
Glocken,Glogge
Glockenläuten,Gloggeläude
glotzen,glodse
Glump,Glumbeploatz
glänzen,glenze
glänzt,glanzd
glänzt,glanzt
glänzt,glenzd
Glätte,Glet
Glöcklein,Glögle
Glück,Glück
Glück,Massel
glücklich,glückli
glückliches,glücklis
glühen,glime
glüht,glyt
glüht,glüüt
Glühwein,Glühwej
Glühwürmchen,Glühwörmli
Gnade,Gnoade
Gnade,Gnot
Gnadenbrood,Gnadebrood
gnädig,gnädi
Gockel,Goggel
Gold,Goult
goldene,goldne
goldene,goldni
goldig,goldi
Gott,Godd
Gott,Gott
Gottes,Goddes
Gotteshaus,Goddeshaus
Gottesmutter,Muddergottes
Gottessegen,Goddessääche
gottlob,godlob
Grab,Groab
Graben,Graawe
graben,graawe
Graben,Groawe
gradeben,groad
Graf,Grafe
Graf,Groaf
Gram,Groam
Gram,Grom
gramgebeugt,groamgebeucht
Grannen,Axn
Gras,Groas
Gras,Gros
Gras,Grääsle
grasen,groase
Grasmücken,Groasmüggli
grast,groasd
grau,gro
graue,graui
Greewle,Gräucherts
greinen,graine
grell,grel
grelle,greli
Grenze,Grenz
Gretel,Greedele
Griebe,Griwe
Grieben,Griewe
Griess,Gris
Griffel,Grifl
Grillen,Haamerli
Grind,Grint
Grindkopf,Grindkoupf
grob,bredol
grob,group
grob,pretol
grob gearbeitet,khülpit
grob gearbeitet,külprit
grosse,gross
Grosse,Großi
groß,grooß
groß,stoarik
große,grosi
große,grossi
große,grousse
große,großi
große Erdescholle,Brog
große Erdescholle,e
große Erdescholle,g
Großen,Große
großer,gro
großer,sser
großer,u
großer Bauch,Reisebauch
großer Korb,Schinker
großes Stück Brot,Range
Großrinderfeld,Rinnerfeld
Großrinderfelder,Rinnerfelder
Großvater,Grossvoadder
Großvater,Heerle
Großvater,Herrle
Grube,Grüwe
Grube,Grüüwe
Grund,Grunnd
Grund,Gruun
Grund,Gruund
Grundbirne,Krumbiire
Grundfeld,Gruundfääld
Grundsatz,Grunnsoatz
grunzen,grunze
grunzt,grunzd
Gruunds,Ärrds
Gräben,Grääwe
gräbt,grejbt
gräbt er,r
Gräßchen,Grääsle
grösser,gröser
größe,gröussde
größte,grö
größte,grössde
größte,gröst
größte,ssdi
größte,u
größten,grö
größten,grössde
größten,ssdi
größten,u
grün,grien
grün,gry
grün,grü
grün,grüün
grün,ü
Grüner Baum,Grüne Baom
grüßen,griaße
Gschichfli unn Bildli aus,Hoasselnüss'
Gschichtli un Gedichtli aus,Hasselnüss'
gucke,guck
gucke,gug
guckt,gugt
guckt er,gugt'r
Gulden,Gyle
Gunst,Guunst
Gurgel,Gorchel
Gurt,Guort
Guss,Guuß
Gustav,Gusdl
gut,d
gut,gu
gut,gud
gut,guud
gut,u
gute,gudde
gute,guddi
guten,gudde
guten,gudden
guter,gudder
guter,guuder
Gutes,s
Gymnasiasten,Kröidebuwe
Gymnasiasten,Studentli
Gymnasium,Ginasium
Gymnasium,Kimenasium
Gymnasium,Kinasium
gähren,ire
Gänge,Geng
Gänse,Gends
Gänse,Gens
Gänse,Gense
Gänseblümchen,Genseblümmle
Gänseblümchen,Genseblümmli
Gänsebraten,Gensebroote
Gänsehaut,Gennshaud
Gänserich,Gandser
Gärtlein,Gärdle
gönnen,gönne
gönnt,gönnd
Gürtel,Gördl
gürten,görde
Gützberg,Gützberch
Haar,Hoar
Haar,Hoor
Haare,Hoor
Haare Verniedlichungsform,Höhrli
haarig,hoari
haarig,horit
Haarnadel,Hoornoodel
Haarpomade,Hoorbumoad
habe,a
habe,haa
habe,ho
habe,hoa
habe,hoab
habe,häwwe
habe ich,haawi
habe ich ihn,-in
habe ich mir es doch gedacht,hoab iech merrs doch gedoocht
habe ichs,'s
haben,haawe
haben,hawwe
haben,hoawwe
haben,howe
haben,hän
haben,häwe
haben,häwwe
haben es,s
haben wir,hämmer
haben wir es,hämmer's
haben wirs,hämmer's
Habenichts,Hungerleide
habt,het
habt,hätt
habt ihr,heder
habt ihr,häbt'r
habt ihr,hätt'r
habt ihr,hättr
Hacke,Haawe
hacke,hack
hacken,e
hacken,g
hacken,hacke
hacken,hag
Hackklotz,Hackkloutz
Hadermanshelle Flurname,Hodermersele
Hafe,Haofe
Hafen,Haafe
Hafen,Hoaf
Hafen,Hofe
Hafen,Hoofe
Hafen,Häfe
Hafen,Hääfe
Hafer,Hawer
Hagebuche,Hebuche
Hagebutte,Hiffelder
Hagebutte,Hiflder
hagebüchen,hebüchern
Hahn,cker
Hahn,Goggel
Hahn,Gö
Hahn,Hoahn
Hahn,Hoahne
Hahn,ö
Hain,Hoa
Hain,n
Haken,Hoake
Haken,Hoge
Haken,Hoke
Hakenfrau,Hokefraale
Hakenmann,Hokemo
halb,holep
halbe,halwe
halber,halwer
halbes,halbs
Halde,Hele
hallo,hallo
hallt,halld
Halm,Holem
Hals,Hals
Hals,Hoalds
Hals,Hoals
Hals,Holds
halt,hald
Halt den Mund,Hald dej Gosch
halt ich,s
halten,halde
halten,halte
Haltestange,Ree
Haltestange,Schdaybern
Haltestange für Zweige mit Obst,Sdaybern
Haltestangen am Pflug,Ree
Haltstelle beim Fangerlisspiel der Kinder,Rustock
Hamberg,Hoammberch
Hambergsplatte,Hamberchsplatte
Hambergsplatte,Hoammberchsplatte
Hambergsplatte,Hoammbersplatte
Hammberg,Hoammberch
Hammel,Hoammel
Hammel,Hoomel
Hammer,Hamr
Hammer,Homer
Hammer zum Klopfen,Glypfl
Hand,Dobe
Hand,Hann
Hand,Hont
Hand,Hoond
Handschuhe,Henschich
Handvoll,Hampfel
handvoll,hampfl
handvoll,hempfele
Hanf,Hompft
Hanf ohne Samen,Feml
Hangseite des Edelberges,Schlossersberch
Hans,Hands
hantierd,wörcheld
hantieren,handiere
hantiert,handiert
Hardheim,Hoorde
Hardheimer,Hoordemer
Harfe,Harpfe
harnen,brundse
harnen,brunze
harnen,bryndsle
harnen,bründsle
harnen,seiche
hart,hard
harter Nasenschleim,Böbbel
hartes,s
Hartes,s
Hase,Hoas
Hase,Hos
Haselnuss,Hoslnus
Haselnusskätzchen,Wörschdli
Haselnüsse,Hasselnüß
Haselnüsse,Hoasselnüss
Haselrute,Brauchrute
Haselstaude,Hosl
Hasen,Hoase
Hasenblume,Hoaseblumme
Hasenblumen,Hoaseblümmli
Hasenbraten,Hoasebroote
Hasenbrot,Hoasebrood
Hasselnüsse,Hoaslnüß
hast,host
hast,häwwe
hast du denn,hosden
hast du dir,host'r
hast du dir gedacht,host'r gedoocht
hast du es ihm,hosdens
hast du es ihm,hosdns
hast du es ihm gegeben,hosdnsga
hast du ihm,hosdm
hast du ihr,hosdr
hastig essend,gaieri
hastig kauen,mampfe
hat,hod
hat,hot
hat,hott
hat,häwwe
hat die Hosen an,-oo
hat er,hodeer
hat er,hott'r
hat er,r
hat er ihm,rm
hat erzählt,hoderdseilt
hat es,s
hat es nicht gefehlt,fählt
hat ihn,n
hat sie schon,-scho
hat vor Angst einem,s Härz geklopfd
hau,haab
haue,haab
haue,hap
hauen,haabe
hauen,haawe
hauen,hap
Hauen,Hap
hauen,hawe
Haufen,Haufe
haufenweise,haufeweis
Hauhechel,Hoaseblumme
Hauptsache,Hauptsach
Hauptsache,Hauptsoach
Hauptstraße,Hauptstrooss
Haus,Haus
Haus des Doktors,Dokdershaus
Hausflur,Fluor
Hausflur,Fluur
Hausfrau,Hausfraa
Hausgang,Eere
Hausgemachtes,moachts
Hausschuhe,b
Hausschuhe,e
Hausschuhe,Schlab
haust rein,achelst
Haustür,Hausdüür
haut,haabt
haut,habt
Haut,Haud
Haut,Haut
haut rein,acheld
Haut zwischen Bauch und Hinterbeinen des Viehs,Fleme
Hautfleck,Pfücherle
heb,hejb
Hebamme,Heiwam
hebe,heip
Hebe,Häbbe
Hebel,Heiwl
heben,hejbe
hebr,machulle
hebr,schoufl
hebt,hejbt
Hecke,Hege
Hedderich,Hederi
Hedderich,Heederi
Hedderich,Heteri
Hefe,Heife
Hefe,Hejfe
Hefenküchlein,Hejfeküchli
Hefenteig,Hejfedaach
Hefeteig,Hejfedaach
Heft,Heft
Hege,Hejch
hehlen,heele
Heide,Heid
Heiden,Haade
Heidenkessel,Haadekessel
Heidenkessel,Haadekessele
heil,haal
heile,haale
heilen,heile
Heiler,Haaler
heilig,hailich
heilig,heilich
heilige,heilche
Heiliger,Heilicher
heiliges,heilichs
Heiligtum,Heilichdum
heilt,haalt
heilt es,haalt's
heilt es,haalts
heim,ha
Heim,Haom
heim,hoam
Heim,Hoam
heim,m
heim,o
heim gerant,hoamgrennt
Heimat,Ha
Heimat,Haamed
Heimat,Haamet
Heimat,Hamed
Heimat,Hamet
Heimat,Haomed
Heimat,Hoamed
Heimat,Hoamet
Heimat,med
Heimat,o
Heimatland,Haametland
Heimatlaute,Haametlaut
Heimatsprache,Haametsprooch
Heimatstädtchen,Hoametstädle
Heimatstädtchen,Hoametstädtle
Heimberg,Hamberich
Heimchen,d
Heimchen,Haamerli
Heimchen,Hamer
Heimchen,li
heimgehen,hoamkumme
heimgeigen,haomgeiche
heimisches Land,Lendle
heimkommen,hoamkumme
heimlich,ha
heimlich,haamli
heimlich,hali
heimlich,hamli
heimlich,hoamli
heimlich,o
heimlich,omli
heimliche,hoamlichi
Heimtücker,Haomdügger
Heimtückischer,Hoamdügger
Heimwech,Hoamwääch
heimwärts,ha
heimwärts,mzu
heimwärts,o
Heirat,Haiert
Heirat,Heiroad
heiraten,haiere
heiraten,heire
Heiraten,Heire
heiratet,heierd
heiser,haaser
Heiteres,G'schpässli
heizen,heize
heiß,haas
heiß,haaß
heiß,s
heißen,haaße
heißen,hase
heißen,haße
heißer,haaser
heißt,hasst
heißt,haßt
heißt es,s
Held,Held
helfen,helfe
hell,hell
Hemd,Hem
Hemd,Hemd
Hemde,Hemer
Hemmschuh,Bremse
Henkel,Hengl
Henker,Henger
her,heer
her,her
her,här
her,häär
herab,raa
herab,ro
herab,roa
heraus,aus
heraus,haus
heraus,raus
herausgeklettert,rausgekläwwert
herausstehende Augen,Polraache
herbei,'e bei
herbei,bei
herbei,ebei
herbei,für
Herbst,Hearbst
Herbst,Herbscht
Herbst,Härbst
Herd,Heart
herein,rai
hereingelegte,gefobbte
hereintappt,nejdabbt
herin,h'inn
Hering,Hääring
hernach,hernoocht
Herr,Herr
Herr,Här
Herr,Härr
Herren wollt ihr sein von der Welt,r seine von dr Weld
Herrgott,Herrgodd
Herrgottsfrühe,Herrgottsfruh
herum,kringst
herum,rumm
herum,rym
herum,rüm
herum,rümm
herum,üm
herum,ümm
herum gedreht,rümmgedreht
herum geschaut,rümmgegaffd
herum hantieren,rümmhandiere
herum hantiert,rümhandiert
herum hantiert,rümmhandierd
herum laufen,rümmlaafe
herumdoktoren,dokdert
herumkräuselnd spritzen,schbredzeln
herumkräuselnd spritzen,schpretzeln
Herummachen,Geduu
herunter,runner
herunterfallen von Obst,bradsle
Herz,Härz
Herzchen,Hörzli
Herzen,Herze
Herzen,Härze
Herzklopfen,Härzklopfe
herüber,ry
herüber,rü
herüber,rüüwer
Heu,Hai
Heu,Häu
Heuernte,Haiere
Heuhüpfer,Haihöpfr
Heuhüpfer,Heihöpfer
Heuhüpfer,Häuhöpfer
heul,blärr
heul,häul
heuld,häuld
heulen,häule
Heuschrecke,Haihöpfr
Heuschrecken,Heihöpfer
heute,haint
heute,heid
heute,heint
heute,hejnt
heute,heud
heute,heut
heute,häud
heute abend,haint
heute abend,heint
Hexe,Hegs
Hexe,Heks
Hexe,Hex
Hexe,Häxe
Hexenkunst,Häxerei
Hexerei,Häxerei
hey,hei
Hieb,b
Hieb,e
Hieb,Hi
Hiebe,b
Hiebe,e
Hiebe,Hi
Hiebe,Hib
Hiefebeeren,Hiffelder
Hiefebeeren,Hiflder
Hiefen,Hiffelder
Hiefen,Hiflder
hier,do
hier,hi
hier,hie
hier,hier
hier draußen,aus
hier und da,hie unn doo
hier unten,e
hier unten,hun
hier unten,n
hierher,doohäär
hierher,nay
Hieronymus,Nimes
hierüber,rü
hierüber,ü
